3.807,0.97,,,
3.944,0.969,,,
4.013,0.968,,,
4.174,0.966,,,
4.488,0.962,,,
4.873,0.954,,,
5.109,0.947,,,
5.343,0.94,,,
4.843,0.938,,,
4.488,0.945,,,
2.468,0.979,,,
3.059,0.977,,,
2.86,0.979,,,
2.07,0.988,,,
1.888,0.989,,,
1.685,0.99,,,
1.525,0.991,,,
1.407,0.991,,,
1.286,0.992,,,
1.238,0.992,,,
1.301,0.989,,,
1.1,0.991,,,
0.981,0.992,,,
1.142,0.989,,,
1.08,0.99,,,
0.921,0.992,,,
0.995,0.991,,,
1.216,0.986,,,
1.211,0.987,,,
1.085,0.989,,,
1.123,0.988,,,
1.266,0.985,,,
1.178,0.987,,,
1.275,0.984,,,
1.392,0.981,,,
1.34,0.983,,,
1.415,0.982,,,
1.512,0.978,,,
1.462,0.98,,,
1.618,0.972,,,
1.612,0.976,,,
1.702,0.972,,,
1.317,0.985,,,
1.353,0.985,,,
1.378,0.985,,,
1.725,0.976,,,
1.729,0.976,,,
1.844,0.973,,,
2.07,0.965,,,
2.308,0.956,,,
2.126,0.965,,,
1.97,0.972,,,
2.81,0.945,,,
2.139,0.971,,,
2.313,0.97,,,
3.014,0.947,,,
2.385,0.967,,,
2.296,0.968,,,
2.16,0.971,,,
1.926,0.978,,,
1.935,0.978,,,
1.972,0.977,,,
2.213,0.97,,,
2.329,0.967,,,
2.142,0.973,,,
1.896,0.98,,,
1.941,0.98,,,
2.033,0.977,,,
2.126,0.976,,,
2.42,0.97,,,
2.663,0.965,,,
3.029,0.957,,,
2.714,0.97,,,
3.166,0.963,,,
3.069,0.971,,,
3.249,0.973,,,
2.166,0.985,,,
2.099,0.979,,,
2.122,0.978,,,
1.902,0.981,,,
1.573,0.986,,,
1.388,0.99,,,
2.784,0.966,,,
2.52,0.971,,,
2.482,0.97,,,
2.586,0.971,,,
2.978,0.966,,,
2.96,0.968,,,
2.457,0.975,,,
2.878,0.966,,,
3.155,0.961,,,
1.451,0.99,,,
1.405,0.991,,,
2.297,0.979,,,
1.399,0.991,,,
2.473,0.98,,,
2.456,0.981,,,
2.697,0.978,,,
2.936,0.973,,,
3.143,0.967,,,
1.695,0.988,,,
1.706,0.988,,,
2.037,0.984,,,
2.09,0.983,,,
2.821,0.973,,,
2.729,0.975,,,
2.936,0.971,,,
3.238,0.968,,,
3.087,0.974,,,
3.163,0.97,,,
3.064,0.973,,,
1.494,0.992,,,
1.516,0.992,,,
1.721,0.99,,,
